date_level,population,stock number,total portion
20170609_1-999,1,13,0.00
"20170609_1,000-5,000",261,"645,100",3.19
"20170609_5,001-10,000",129,"1,139,000",5.64
"20170609_10,001-15,000",47,"610,000",3.02
"20170609_15,001-20,000",29,"546,000",2.70
"20170609_20,001-30,000",30,"809,000",4.00
"20170609_30,001-40,000",25,"887,000",4.39
"20170609_40,001-50,000",12,"568,000",2.81
"20170609_50,001-100,000",23,"1,656,000",8.20
"20170609_100,001-200,000",9,"1,258,887",6.23
"20170609_200,001-400,000",3,"847,000",4.19
"20170609_400,001-600,000",1,"488,000",2.41
"20170609_600,001-800,000",0,0,0.00
"20170609_800,001-1,000,000",0,0,0.00
"20170609_1,000,001以上",4,"10,738,000",53.17
20170603_1-999,1,13,0.00
"20170603_1,000-5,000",263,"660,100",3.26
"20170603_5,001-10,000",126,"1,110,000",5.49
"20170603_10,001-15,000",46,"596,000",2.95
"20170603_15,001-20,000",30,"563,000",2.78
"20170603_20,001-30,000",29,"774,000",3.83
"20170603_30,001-40,000",26,"926,000",4.58
"20170603_40,001-50,000",11,"524,000",2.59
"20170603_50,001-100,000",23,"1,614,000",7.99
"20170603_100,001-200,000",10,"1,379,887",6.83
"20170603_200,001-400,000",3,"847,000",4.19
"20170603_400,001-600,000",1,"497,000",2.46
"20170603_600,001-800,000",0,0,0.00
"20170603_800,001-1,000,000",0,0,0.00
"20170603_1,000,001以上",4,"10,701,000",52.99
20170526_1-999,1,13,0.00
"20170526_1,000-5,000",272,"690,100",3.41
"20170526_5,001-10,000",124,"1,096,000",5.42
"20170526_10,001-15,000",48,"620,000",3.07
"20170526_15,001-20,000",28,"525,000",2.60
"20170526_20,001-30,000",29,"776,000",3.84
"20170526_30,001-40,000",28,"988,000",4.89
"20170526_40,001-50,000",11,"533,000",2.63
"20170526_50,001-100,000",22,"1,553,000",7.69
"20170526_100,001-200,000",9,"1,256,887",6.22
"20170526_200,001-400,000",4,"1,061,000",5.25
"20170526_400,001-600,000",0,0,0.00
"20170526_600,001-800,000",1,"602,000",2.98
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",4,"10,491,000",51.95
20170519_1-999,1,13,0.00
"20170519_1,000-5,000",265,"662,100",3.27
"20170519_5,001-10,000",125,"1,096,000",5.42
"20170519_10,001-15,000",47,"599,000",2.96
"20170519_15,001-20,000",32,"595,000",2.94
"20170519_20,001-30,000",33,"903,000",4.47
"20170519_30,001-40,000",23,"805,000",3.98
"20170519_40,001-50,000",12,"583,000",2.88
"20170519_50,001-100,000",22,"1,537,000",7.61
"20170519_100,001-200,000",9,"1,254,887",6.21
"20170519_200,001-400,000",4,"1,050,000",5.20
"20170519_400,001-600,000",0,0,0.00
"20170519_600,001-800,000",0,0,0.00
"20170519_800,001-1,000,000",2,"1,693,000",8.38
"20170519_1,000,001以上",3,"9,414,000",46.62
20170512_1-999,1,13,0.00
"20170512_1,000-5,000",265,"666,100",3.29
"20170512_5,001-10,000",129,"1,127,000",5.58
"20170512_10,001-15,000",43,"552,000",2.73
"20170512_15,001-20,000",31,"578,000",2.86
"20170512_20,001-30,000",35,"956,000",4.73
"20170512_30,001-40,000",23,"804,000",3.98
"20170512_40,001-50,000",13,"631,000",3.12
"20170512_50,001-100,000",20,"1,394,000",6.90
"20170512_100,001-200,000",9,"1,254,887",6.21
"20170512_200,001-400,000",4,"1,050,000",5.20
"20170512_400,001-600,000",0,0,0.00
"20170512_600,001-800,000",0,0,0.00
"20170512_800,001-1,000,000",2,"1,758,000",8.70
"20170512_1,000,001以上",3,"9,421,000",46.65
20170505_1-999,1,13,0.00
"20170505_1,000-5,000",275,"692,100",3.42
"20170505_5,001-10,000",133,"1,162,000",5.75
"20170505_10,001-15,000",42,"545,000",2.69
"20170505_15,001-20,000",27,"509,000",2.52
"20170505_20,001-30,000",37,"989,000",4.89
"20170505_30,001-40,000",21,"735,000",3.64
"20170505_40,001-50,000",12,"586,000",2.90
"20170505_50,001-100,000",19,"1,282,000",6.34
"20170505_100,001-200,000",9,"1,250,887",6.19
"20170505_200,001-400,000",4,"1,049,000",5.19
"20170505_400,001-600,000",0,0,0.00
"20170505_600,001-800,000",0,0,0.00
"20170505_800,001-1,000,000",2,"1,806,000",8.94
"20170505_1,000,001以上",3,"9,586,000",47.47
20170428_1-999,1,13,0.00
"20170428_1,000-5,000",274,"687,100",3.40
"20170428_5,001-10,000",133,"1,155,000",5.72
"20170428_10,001-15,000",44,"571,000",2.82
"20170428_15,001-20,000",27,"506,000",2.50
"20170428_20,001-30,000",34,"899,000",4.45
"20170428_30,001-40,000",24,"847,000",4.19
"20170428_40,001-50,000",10,"489,000",2.42
"20170428_50,001-100,000",20,"1,342,000",6.64
"20170428_100,001-200,000",9,"1,250,887",6.19
"20170428_200,001-400,000",4,"1,050,000",5.20
"20170428_400,001-600,000",0,0,0.00
"20170428_600,001-800,000",0,0,0.00
"20170428_800,001-1,000,000",2,"1,803,000",8.92
"20170428_1,000,001以上",3,"9,592,000",47.50
20170421_1-999,1,13,0.00
"20170421_1,000-5,000",282,"707,100",3.50
"20170421_5,001-10,000",129,"1,120,000",5.54
"20170421_10,001-15,000",46,"594,000",2.94
"20170421_15,001-20,000",30,"565,000",2.79
"20170421_20,001-30,000",32,"876,000",4.33
"20170421_30,001-40,000",23,"807,000",3.99
"20170421_40,001-50,000",11,"535,000",2.64
"20170421_50,001-100,000",18,"1,240,000",6.14
"20170421_100,001-200,000",10,"1,385,887",6.86
