date_level,population,stock number,total portion
20170609_1-999,0,0,0.00
"20170609_1,000-5,000",110,"206,000",1.16
"20170609_5,001-10,000",10,"87,000",0.49
"20170609_10,001-15,000",2,"25,000",0.14
"20170609_15,001-20,000",1,"20,000",0.11
"20170609_20,001-30,000",5,"139,000",0.78
"20170609_30,001-40,000",0,0,0.00
"20170609_40,001-50,000",2,"92,000",0.52
"20170609_50,001-100,000",4,"340,000",1.92
"20170609_100,001-200,000",1,"120,000",0.68
"20170609_200,001-400,000",1,"285,000",1.61
"20170609_400,001-600,000",2,"1,076,000",6.10
"20170609_600,001-800,000",1,"652,000",3.69
"20170609_800,001-1,000,000",0,0,0.00
"20170609_1,000,001以上",5,"14,597,000",82.75
20170603_1-999,0,0,0.00
"20170603_1,000-5,000",116,"212,000",1.07
"20170603_5,001-10,000",12,"107,000",0.54
"20170603_10,001-15,000",3,"37,000",0.18
"20170603_15,001-20,000",1,"20,000",0.10
"20170603_20,001-30,000",3,"83,000",0.42
"20170603_30,001-40,000",0,0,0.00
"20170603_40,001-50,000",2,"100,000",0.50
"20170603_50,001-100,000",5,"440,000",2.24
"20170603_100,001-200,000",1,"120,000",0.61
"20170603_200,001-400,000",1,"350,000",1.78
"20170603_400,001-600,000",2,"1,066,000",5.42
"20170603_600,001-800,000",0,0,0.00
"20170603_800,001-1,000,000",0,0,0.00
"20170603_1,000,001以上",6,"17,104,000",87.09
20170526_1-999,0,0,0.00
"20170526_1,000-5,000",122,"227,000",1.15
"20170526_5,001-10,000",13,"116,000",0.59
"20170526_10,001-15,000",3,"40,000",0.20
"20170526_15,001-20,000",2,"40,000",0.20
"20170526_20,001-30,000",4,"104,000",0.52
"20170526_30,001-40,000",0,0,0.00
"20170526_40,001-50,000",1,"50,000",0.25
"20170526_50,001-100,000",7,"590,000",3.00
"20170526_100,001-200,000",1,"120,000",0.61
"20170526_200,001-400,000",1,"350,000",1.78
"20170526_400,001-600,000",2,"1,066,000",5.42
"20170526_600,001-800,000",0,0,0.00
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",6,"16,936,000",86.23
20170519_1-999,0,0,0.00
"20170519_1,000-5,000",147,"286,000",1.45
"20170519_5,001-10,000",16,"144,000",0.73
"20170519_10,001-15,000",4,"52,000",0.26
"20170519_15,001-20,000",3,"60,000",0.30
"20170519_20,001-30,000",3,"77,000",0.39
