date_level,population,stock number,total portion
20170609_1-999,1,500,0.00
"20170609_1,000-5,000",401,"1,056,000",5.44
"20170609_5,001-10,000",124,"1,087,500",5.61
"20170609_10,001-15,000",45,"617,000",3.18
"20170609_15,001-20,000",40,"768,000",3.96
"20170609_20,001-30,000",44,"1,160,000",5.98
"20170609_30,001-40,000",18,"654,000",3.37
"20170609_40,001-50,000",18,"891,000",4.59
"20170609_50,001-100,000",12,"1,003,000",5.17
"20170609_100,001-200,000",5,"649,000",3.34
"20170609_200,001-400,000",2,"515,000",2.65
"20170609_400,001-600,000",1,"475,000",2.45
"20170609_600,001-800,000",1,"756,000",3.90
"20170609_800,001-1,000,000",2,"1,804,000",9.30
"20170609_1,000,001以上",5,"7,948,000",41.00
20170603_1-999,0,0,0.00
"20170603_1,000-5,000",400,"1,050,000",5.41
"20170603_5,001-10,000",127,"1,105,500",5.70
"20170603_10,001-15,000",47,"655,500",3.38
"20170603_15,001-20,000",38,"736,000",3.79
"20170603_20,001-30,000",42,"1,102,000",5.68
"20170603_30,001-40,000",19,"692,000",3.56
"20170603_40,001-50,000",17,"850,000",4.38
"20170603_50,001-100,000",11,"894,000",4.61
"20170603_100,001-200,000",4,"523,000",2.69
"20170603_200,001-400,000",2,"518,000",2.67
"20170603_400,001-600,000",1,"442,000",2.28
"20170603_600,001-800,000",2,"1,508,000",7.77
"20170603_800,001-1,000,000",0,0,0.00
"20170603_1,000,001以上",6,"9,308,000",48.01
20170526_1-999,0,0,0.00
"20170526_1,000-5,000",409,"1,094,000",5.64
"20170526_5,001-10,000",124,"1,083,500",5.58
"20170526_10,001-15,000",47,"656,500",3.38
"20170526_15,001-20,000",39,"748,000",3.85
"20170526_20,001-30,000",43,"1,128,000",5.81
"20170526_30,001-40,000",18,"645,000",3.32
"20170526_40,001-50,000",19,"942,000",4.85
"20170526_50,001-100,000",13,"1,022,000",5.27
"20170526_100,001-200,000",4,"530,000",2.73
"20170526_200,001-400,000",3,"763,000",3.93
"20170526_400,001-600,000",0,0,0.00
"20170526_600,001-800,000",0,0,0.00
"20170526_800,001-1,000,000",1,"944,000",4.86
"20170526_1,000,001以上",7,"9,828,000",50.70
20170519_1-999,0,0,0.00
"20170519_1,000-5,000",406,"1,073,000",5.39
"20170519_5,001-10,000",117,"1,030,500",5.18
"20170519_10,001-15,000",52,"726,500",3.65
"20170519_15,001-20,000",40,"771,000",3.87
"20170519_20,001-30,000",42,"1,117,000",5.61
"20170519_30,001-40,000",16,"584,000",2.93
"20170519_40,001-50,000",17,"845,000",4.24
"20170519_50,001-100,000",14,"1,064,000",5.35
"20170519_100,001-200,000",2,"300,000",1.50
"20170519_200,001-400,000",2,"643,000",3.23
"20170519_400,001-600,000",0,0,0.00
"20170519_600,001-800,000",0,0,0.00
"20170519_800,001-1,000,000",3,"2,757,000",13.86
"20170519_1,000,001以上",6,"8,973,000",45.12
20170512_1-999,0,0,0.00
"20170512_1,000-5,000",400,"1,064,000",5.35
"20170512_5,001-10,000",128,"1,125,500",5.66
"20170512_10,001-15,000",48,"673,500",3.38
"20170512_15,001-20,000",39,"743,000",3.73
"20170512_20,001-30,000",45,"1,187,000",5.96
"20170512_30,001-40,000",14,"504,000",2.53
"20170512_40,001-50,000",20,"982,000",4.93
"20170512_50,001-100,000",9,"696,000",3.50
"20170512_100,001-200,000",4,"568,000",2.85
"20170512_200,001-400,000",2,"642,000",3.22
"20170512_400,001-600,000",0,0,0.00
"20170512_600,001-800,000",0,0,0.00
"20170512_800,001-1,000,000",1,"978,000",4.91
"20170512_1,000,001以上",7,"10,721,000",53.91
20170505_1-999,0,0,0.00
"20170505_1,000-5,000",414,"1,122,000",5.50
"20170505_5,001-10,000",125,"1,106,500",5.42
"20170505_10,001-15,000",49,"690,500",3.38
"20170505_15,001-20,000",41,"784,000",3.84
"20170505_20,001-30,000",41,"1,079,000",5.29
"20170505_30,001-40,000",18,"654,000",3.20
"20170505_40,001-50,000",18,"892,000",4.37
