date_level,population,stock number,total portion
20170609_1-999,12,"2,316",0.00
"20170609_1,000-5,000","2,060","5,414,451",3.34
"20170609_5,001-10,000",832,"7,088,000",4.38
"20170609_10,001-15,000",292,"3,911,000",2.41
"20170609_15,001-20,000",289,"5,486,000",3.39
"20170609_20,001-30,000",259,"6,918,233",4.27
"20170609_30,001-40,000",139,"5,163,000",3.19
"20170609_40,001-50,000",107,"5,119,000",3.16
"20170609_50,001-100,000",210,"16,051,000",9.92
"20170609_100,001-200,000",121,"17,917,000",11.07
"20170609_200,001-400,000",48,"13,798,000",8.53
"20170609_400,001-600,000",12,"6,205,000",3.83
"20170609_600,001-800,000",7,"4,669,000",2.88
"20170609_800,001-1,000,000",5,"4,642,000",2.87
"20170609_1,000,001以上",20,"59,324,000",36.68
20170603_1-999,10,"2,300",0.00
"20170603_1,000-5,000","1,913","4,984,467",3.36
"20170603_5,001-10,000",770,"6,573,000",4.43
"20170603_10,001-15,000",259,"3,464,000",2.33
"20170603_15,001-20,000",261,"4,917,000",3.31
"20170603_20,001-30,000",245,"6,533,233",4.40
"20170603_30,001-40,000",133,"4,941,000",3.33
"20170603_40,001-50,000",95,"4,518,000",3.04
"20170603_50,001-100,000",194,"14,508,000",9.78
"20170603_100,001-200,000",114,"16,375,000",11.04
"20170603_200,001-400,000",48,"13,544,000",9.13
"20170603_400,001-600,000",7,"3,465,000",2.33
"20170603_600,001-800,000",6,"4,052,000",2.73
"20170603_800,001-1,000,000",5,"4,522,000",3.05
"20170603_1,000,001以上",20,"55,809,000",37.65
20170526_1-999,9,"1,396",0.00
"20170526_1,000-5,000","1,786","4,577,371",4.26
"20170526_5,001-10,000",675,"5,742,000",5.35
"20170526_10,001-15,000",201,"2,702,000",2.52
"20170526_15,001-20,000",216,"4,065,000",3.79
"20170526_20,001-30,000",224,"5,948,233",5.54
"20170526_30,001-40,000",110,"4,125,000",3.84
"20170526_40,001-50,000",88,"4,153,000",3.87
"20170526_50,001-100,000",156,"11,940,000",11.13
"20170526_100,001-200,000",90,"12,523,000",11.68
"20170526_200,001-400,000",42,"11,485,000",10.71
"20170526_400,001-600,000",7,"3,417,000",3.18
"20170526_600,001-800,000",8,"5,607,000",5.23
"20170526_800,001-1,000,000",8,"7,381,000",6.88
"20170526_1,000,001以上",11,"23,541,000",21.95
20170519_1-999,9,"1,396",0.00
"20170519_1,000-5,000","1,452","3,608,371",3.24
"20170519_5,001-10,000",532,"4,503,000",4.04
"20170519_10,001-15,000",181,"2,418,000",2.17
"20170519_15,001-20,000",171,"3,257,000",2.92
"20170519_20,001-30,000",167,"4,485,233",4.03
"20170519_30,001-40,000",82,"3,057,000",2.74
"20170519_40,001-50,000",65,"3,069,000",2.75
"20170519_50,001-100,000",140,"10,518,000",9.45
"20170519_100,001-200,000",73,"10,587,000",9.51
"20170519_200,001-400,000",33,"9,344,000",8.40
"20170519_400,001-600,000",7,"3,447,000",3.09
"20170519_600,001-800,000",5,"3,355,000",3.01
"20170519_800,001-1,000,000",4,"3,787,000",3.40
"20170519_1,000,001以上",12,"45,771,000",41.15
20170512_1-999,9,"1,396",0.00
"20170512_1,000-5,000","1,533","3,954,371",3.81
"20170512_5,001-10,000",568,"4,788,000",4.61
"20170512_10,001-15,000",203,"2,709,000",2.61
"20170512_15,001-20,000",197,"3,779,000",3.64
"20170512_20,001-30,000",186,"4,964,233",4.78
"20170512_30,001-40,000",88,"3,283,000",3.16
"20170512_40,001-50,000",74,"3,482,000",3.35
"20170512_50,001-100,000",161,"12,308,000",11.86
"20170512_100,001-200,000",68,"10,205,000",9.84
"20170512_200,001-400,000",42,"12,297,000",11.85
"20170512_400,001-600,000",7,"3,456,000",3.33
"20170512_600,001-800,000",5,"3,573,000",3.44
"20170512_800,001-1,000,000",3,"2,719,000",2.62
"20170512_1,000,001以上",13,"32,189,000",31.03
20170505_1-999,9,"1,396",0.00
"20170505_1,000-5,000","1,463","3,711,371",4.09
"20170505_5,001-10,000",472,"4,001,000",4.41
"20170505_10,001-15,000",175,"2,367,000",2.60
"20170505_15,001-20,000",182,"3,473,233",3.82
"20170505_20,001-30,000",175,"4,747,000",5.23
"20170505_30,001-40,000",80,"2,951,000",3.25
"20170505_40,001-50,000",67,"3,161,000",3.48
"20170505_50,001-100,000",126,"9,634,000",10.62
"20170505_100,001-200,000",70,"10,601,000",11.68
"20170505_200,001-400,000",31,"8,696,000",9.58
"20170505_400,001-600,000",7,"3,669,000",4.04
"20170505_600,001-800,000",4,"2,624,000",2.89
"20170505_800,001-1,000,000",2,"1,845,000",2.03
"20170505_1,000,001以上",11,"29,226,000",32.21
20170428_1-999,9,"1,332",0.00
"20170428_1,000-5,000","1,417","3,567,168",4.44
"20170428_5,001-10,000",453,"3,855,000",4.80
"20170428_10,001-15,000",157,"2,121,000",2.64
"20170428_15,001-20,000",160,"3,044,233",3.79
"20170428_20,001-30,000",160,"4,374,000",5.45
"20170428_30,001-40,000",72,"2,680,000",3.34
"20170428_40,001-50,000",61,"2,915,000",3.63
"20170428_50,001-100,000",111,"8,407,000",10.48
"20170428_100,001-200,000",64,"9,578,000",11.94
"20170428_200,001-400,000",27,"7,703,267",9.60
"20170428_400,001-600,000",9,"4,487,000",5.59
"20170428_600,001-800,000",3,"2,106,000",2.62
"20170428_800,001-1,000,000",1,"974,000",1.21
"20170428_1,000,001以上",9,"24,395,000",30.41
20170421_1-999,6,993,0.00
"20170421_1,000-5,000","1,087","2,552,507",3.97
"20170421_5,001-10,000",306,"2,633,000",4.10
"20170421_10,001-15,000",96,"1,298,233",2.02
"20170421_15,001-20,000",94,"1,793,267",2.79
"20170421_20,001-30,000",84,"2,289,000",3.56
"20170421_30,001-40,000",41,"1,482,000",2.30
"20170421_40,001-50,000",41,"1,970,000",3.06
"20170421_50,001-100,000",70,"5,066,000",7.88
"20170421_100,001-200,000",33,"4,904,000",7.63
"20170421_200,001-400,000",19,"5,354,000",8.33
"20170421_400,001-600,000",5,"2,618,000",4.07
"20170421_600,001-800,000",0,0,0.00
"20170421_800,001-1,000,000",1,"910,000",1.41
"20170421_1,000,001以上",10,"31,367,000",48.85
20170421_差異數調整（說明4）, ,"-30,000",-0.04
20170414_1-999,5,900,0.00
"20170414_1,000-5,000","1,031","2,467,100",3.51
"20170414_5,001-10,000",321,"2,753,000",3.92
"20170414_10,001-15,000",93,"1,276,233",1.81
"20170414_15,001-20,000",99,"1,884,000",2.68
"20170414_20,001-30,000",91,"2,498,000",3.55
"20170414_30,001-40,000",47,"1,710,000",2.43
"20170414_40,001-50,000",38,"1,827,000",2.60
"20170414_50,001-100,000",66,"4,713,767",6.71
"20170414_100,001-200,000",33,"4,863,000",6.92
"20170414_200,001-400,000",20,"5,416,000",7.71
"20170414_400,001-600,000",4,"1,868,000",2.66
"20170414_600,001-800,000",1,"689,000",0.98
"20170414_800,001-1,000,000",1,"910,000",1.29
"20170414_1,000,001以上",10,"37,348,000",53.19
20170414_差異數調整（說明4）, ,"-16,000",-0.02
20170407_1-999,4,883,0.00
"20170407_1,000-5,000","1,063","2,628,117",3.77
"20170407_5,001-10,000",365,"3,097,000",4.44
"20170407_10,001-15,000",117,"1,568,000",2.24
"20170407_15,001-20,000",122,"2,301,000",3.30
"20170407_20,001-30,000",107,"2,861,000",4.10
"20170407_30,001-40,000",47,"1,707,000",2.44
"20170407_40,001-50,000",45,"2,161,000",3.10
"20170407_50,001-100,000",84,"6,088,000",8.73
"20170407_100,001-200,000",40,"5,468,000",7.84
"20170407_200,001-400,000",30,"8,292,000",11.89
"20170407_400,001-600,000",3,"1,496,000",2.14
"20170407_600,001-800,000",0,0,0.00
"20170407_800,001-1,000,000",2,"1,789,000",2.56
"20170407_1,000,001以上",9,"30,251,000",43.39
20170331_1-999,4,883,0.00
"20170331_1,000-5,000","1,111","2,772,117",4.00
