date_level,population,stock number,total portion
20170609_1-999,0,0,0.00
"20170609_1,000-5,000",73,"141,000",1.19
"20170609_5,001-10,000",11,"93,000",0.78
"20170609_10,001-15,000",6,"76,000",0.64
"20170609_15,001-20,000",3,"53,000",0.44
"20170609_20,001-30,000",3,"85,000",0.71
"20170609_30,001-40,000",2,"74,000",0.62
"20170609_40,001-50,000",0,0,0.00
"20170609_50,001-100,000",4,"331,000",2.80
"20170609_100,001-200,000",0,0,0.00
"20170609_200,001-400,000",2,"490,000",4.14
"20170609_400,001-600,000",0,0,0.00
"20170609_600,001-800,000",0,0,0.00
"20170609_800,001-1,000,000",1,"986,000",8.34
"20170609_1,000,001以上",4,"9,485,000",80.32
20170609_差異數調整（說明4）, ,"-5,000",-0.04
20170603_1-999,0,0,0.00
"20170603_1,000-5,000",80,"149,000",1.21
"20170603_5,001-10,000",10,"85,000",0.69
"20170603_10,001-15,000",4,"52,000",0.42
"20170603_15,001-20,000",3,"53,000",0.43
"20170603_20,001-30,000",4,"106,000",0.86
"20170603_30,001-40,000",2,"69,000",0.56
"20170603_40,001-50,000",0,0,0.00
"20170603_50,001-100,000",4,"327,000",2.65
"20170603_100,001-200,000",0,0,0.00
"20170603_200,001-400,000",1,"250,000",2.03
"20170603_400,001-600,000",2,"992,000",8.05
"20170603_600,001-800,000",1,"720,000",5.84
"20170603_800,001-1,000,000",1,"986,000",8.01
"20170603_1,000,001以上",4,"8,527,000",69.27
20170603_差異數調整（說明4）, ,"-7,000",-0.05
20170526_1-999,0,0,0.00
"20170526_1,000-5,000",74,"147,000",1.19
"20170526_5,001-10,000",10,"77,000",0.62
"20170526_10,001-15,000",5,"61,000",0.49
"20170526_15,001-20,000",7,"129,000",1.04
"20170526_20,001-30,000",3,"80,000",0.64
"20170526_30,001-40,000",3,"101,000",0.82
"20170526_40,001-50,000",0,0,0.00
"20170526_50,001-100,000",4,"314,000",2.55
"20170526_100,001-200,000",0,0,0.00
"20170526_200,001-400,000",2,"506,000",4.11
"20170526_400,001-600,000",2,"1,002,000",8.14
"20170526_600,001-800,000",1,"720,000",5.84
"20170526_800,001-1,000,000",1,"984,000",7.99
"20170526_1,000,001以上",4,"8,188,000",66.52
20170519_1-999,0,0,0.00
"20170519_1,000-5,000",93,"183,000",1.48
"20170519_5,001-10,000",11,"92,000",0.74
"20170519_10,001-15,000",6,"75,000",0.60
"20170519_15,001-20,000",6,"105,000",0.85
"20170519_20,001-30,000",2,"55,000",0.44
"20170519_30,001-40,000",0,0,0.00
"20170519_40,001-50,000",2,"90,000",0.73
"20170519_50,001-100,000",4,"316,000",2.56
"20170519_100,001-200,000",0,0,0.00
"20170519_200,001-400,000",2,"529,000",4.29
"20170519_400,001-600,000",2,"1,002,000",8.14
"20170519_600,001-800,000",0,0,0.00
"20170519_800,001-1,000,000",0,0,0.00
"20170519_1,000,001以上",5,"9,862,000",80.12
20170512_1-999,0,0,0.00
"20170512_1,000-5,000",88,"162,000",1.26
"20170512_5,001-10,000",17,"145,000",1.13
"20170512_10,001-15,000",2,"24,000",0.18
"20170512_15,001-20,000",7,"127,000",0.99
"20170512_20,001-30,000",3,"78,000",0.60
"20170512_30,001-40,000",0,0,0.00
"20170512_40,001-50,000",1,"46,000",0.35
"20170512_50,001-100,000",4,"301,000",2.34
"20170512_100,001-200,000",0,0,0.00
"20170512_200,001-400,000",3,"891,000",6.95
"20170512_400,001-600,000",1,"435,000",3.39
"20170512_600,001-800,000",0,0,0.00
"20170512_800,001-1,000,000",0,0,0.00
"20170512_1,000,001以上",6,"10,600,000",82.75
20170505_1-999,0,0,0.00
"20170505_1,000-5,000",118,"251,000",1.81
"20170505_5,001-10,000",24,"205,000",1.48
"20170505_10,001-15,000",4,"52,000",0.37
"20170505_15,001-20,000",6,"113,000",0.81
"20170505_20,001-30,000",7,"178,000",1.28
"20170505_30,001-40,000",1,"39,000",0.28
"20170505_40,001-50,000",1,"46,000",0.33
"20170505_50,001-100,000",5,"366,000",2.65
"20170505_100,001-200,000",0,0,0.00
"20170505_200,001-400,000",3,"893,000",6.46
"20170505_400,001-600,000",1,"530,000",3.83
"20170505_600,001-800,000",0,0,0.00
"20170505_800,001-1,000,000",1,"872,000",6.31
"20170505_1,000,001以上",5,"10,264,000",74.32
20170428_1-999,0,0,0.00
"20170428_1,000-5,000",124,"271,000",1.96
"20170428_5,001-10,000",28,"242,000",1.75
"20170428_10,001-15,000",12,"160,000",1.15
"20170428_15,001-20,000",3,"53,000",0.38
"20170428_20,001-30,000",9,"234,000",1.69
"20170428_30,001-40,000",0,0,0.00
"20170428_40,001-50,000",1,"46,000",0.33
"20170428_50,001-100,000",7,"499,000",3.61
"20170428_100,001-200,000",2,"264,000",1.91
"20170428_200,001-400,000",7,"2,083,000",15.08
"20170428_400,001-600,000",1,"488,000",3.53
"20170428_600,001-800,000",1,"708,000",5.12
"20170428_800,001-1,000,000",0,0,0.00
"20170428_1,000,001以上",6,"8,761,000",63.44
20170421_1-999,0,0,0.00
"20170421_1,000-5,000",152,"346,000",2.50
"20170421_5,001-10,000",32,"263,000",1.90
"20170421_10,001-15,000",12,"153,000",1.10
"20170421_15,001-20,000",6,"108,000",0.78
"20170421_20,001-30,000",12,"316,000",2.28
"20170421_30,001-40,000",2,"76,000",0.55
"20170421_40,001-50,000",2,"97,000",0.70
"20170421_50,001-100,000",3,"247,000",1.78
"20170421_100,001-200,000",5,"651,000",4.71
"20170421_200,001-400,000",5,"1,494,000",10.81
"20170421_400,001-600,000",0,0,0.00
"20170421_600,001-800,000",0,0,0.00
"20170421_800,001-1,000,000",1,"860,000",6.22
"20170421_1,000,001以上",6,"9,198,000",66.60
20170414_1-999,0,0,0.00
"20170414_1,000-5,000",122,"267,000",1.93
"20170414_5,001-10,000",17,"144,000",1.04
"20170414_10,001-15,000",9,"113,000",0.81
"20170414_15,001-20,000",6,"112,000",0.81
"20170414_20,001-30,000",7,"181,000",1.31
"20170414_30,001-40,000",2,"62,000",0.44
"20170414_40,001-50,000",0,0,0.00
"20170414_50,001-100,000",4,"272,000",1.96
"20170414_100,001-200,000",2,"264,000",1.91
"20170414_200,001-400,000",4,"1,266,000",9.16
"20170414_400,001-600,000",2,"987,000",7.14
"20170414_600,001-800,000",0,0,0.00
"20170414_800,001-1,000,000",0,0,0.00
"20170414_1,000,001以上",5,"10,141,000",73.43
20170407_1-999,0,0,0.00
"20170407_1,000-5,000",116,"245,000",1.77
"20170407_5,001-10,000",24,"203,000",1.47
"20170407_10,001-15,000",4,"53,000",0.38
"20170407_15,001-20,000",7,"136,000",0.98
"20170407_20,001-30,000",9,"226,000",1.63
"20170407_30,001-40,000",1,"38,000",0.27
"20170407_40,001-50,000",1,"41,000",0.29
"20170407_50,001-100,000",5,"395,000",2.86
"20170407_100,001-200,000",1,"104,000",0.75
"20170407_200,001-400,000",4,"1,336,000",9.67
"20170407_400,001-600,000",2,"1,053,000",7.62
"20170407_600,001-800,000",0,0,0.00
"20170407_800,001-1,000,000",1,"989,000",7.16
"20170407_1,000,001以上",4,"8,997,000",65.15
20170407_差異數調整（說明4）, ,"-7,000",-0.05
20170331_1-999,0,0,0.00
"20170331_1,000-5,000",115,"242,000",1.75
"20170331_5,001-10,000",28,"243,000",1.75
"20170331_10,001-15,000",5,"68,000",0.49
"20170331_15,001-20,000",5,"96,000",0.69
"20170331_20,001-30,000",7,"163,000",1.18
"20170331_30,001-40,000",0,0,0.00
"20170331_40,001-50,000",1,"46,000",0.33
"20170331_50,001-100,000",6,"463,000",3.35
"20170331_100,001-200,000",1,"105,000",0.76
"20170331_200,001-400,000",4,"1,475,000",10.68
"20170331_400,001-600,000",2,"954,000",6.90
"20170331_600,001-800,000",0,0,0.00
"20170331_800,001-1,000,000",1,"994,000",7.19
"20170331_1,000,001以上",4,"8,960,000",64.88
20170324_1-999,0,0,0.00
"20170324_1,000-5,000",120,"236,000",1.59
"20170324_5,001-10,000",19,"166,000",1.12
"20170324_10,001-15,000",6,"87,000",0.58
"20170324_15,001-20,000",5,"96,000",0.64
"20170324_20,001-30,000",11,"282,000",1.90
"20170324_30,001-40,000",0,0,0.00
"20170324_40,001-50,000",1,"45,000",0.30
"20170324_50,001-100,000",4,"295,000",1.99
"20170324_100,001-200,000",0,0,0.00
"20170324_200,001-400,000",4,"1,415,000",9.55
"20170324_400,001-600,000",2,"939,000",6.34
"20170324_600,001-800,000",0,0,0.00
"20170324_800,001-1,000,000",1,"984,000",6.64
"20170324_1,000,001以上",6,"10,264,000",69.30
20170317_1-999,0,0,0.00
"20170317_1,000-5,000",111,"230,000",1.55
"20170317_5,001-10,000",23,"198,000",1.33
"20170317_10,001-15,000",7,"95,000",0.64
"20170317_15,001-20,000",5,"96,000",0.64
"20170317_20,001-30,000",6,"137,000",0.92
"20170317_30,001-40,000",1,"31,000",0.20
"20170317_40,001-50,000",1,"41,000",0.27
"20170317_50,001-100,000",7,"491,000",3.31
"20170317_100,001-200,000",0,0,0.00
"20170317_200,001-400,000",3,"999,000",6.74
"20170317_400,001-600,000",3,"1,478,000",9.98
"20170317_600,001-800,000",0,0,0.00
"20170317_800,001-1,000,000",1,"842,000",5.68
"20170317_1,000,001以上",6,"10,171,000",68.68
20170310_1-999,0,0,0.00
