date_level,population,stock number,total portion
20170609_1-999,2,83,0.00
"20170609_1,000-5,000",175,"322,534",0.77
"20170609_5,001-10,000",15,"123,000",0.29
"20170609_10,001-15,000",5,"66,000",0.15
"20170609_15,001-20,000",3,"50,383",0.12
"20170609_20,001-30,000",3,"81,000",0.19
"20170609_30,001-40,000",0,0,0.00
"20170609_40,001-50,000",1,"50,000",0.12
"20170609_50,001-100,000",1,"82,000",0.19
"20170609_100,001-200,000",3,"470,000",1.13
"20170609_200,001-400,000",2,"509,000",1.22
"20170609_400,001-600,000",0,0,0.00
"20170609_600,001-800,000",1,"694,000",1.67
"20170609_800,001-1,000,000",0,0,0.00
"20170609_1,000,001以上",4,"39,083,000",94.10
20170603_1-999,2,83,0.00
"20170603_1,000-5,000",168,"317,534",0.77
"20170603_5,001-10,000",16,"137,000",0.33
"20170603_10,001-15,000",5,"66,000",0.16
"20170603_15,001-20,000",3,"50,383",0.12
"20170603_20,001-30,000",2,"51,000",0.12
"20170603_30,001-40,000",1,"40,000",0.09
"20170603_40,001-50,000",1,"50,000",0.12
"20170603_50,001-100,000",2,"130,000",0.31
"20170603_100,001-200,000",3,"408,000",0.99
"20170603_200,001-400,000",2,"509,000",1.24
"20170603_400,001-600,000",1,"437,000",1.06
"20170603_600,001-800,000",0,0,0.00
"20170603_800,001-1,000,000",0,0,0.00
"20170603_1,000,001以上",4,"38,835,000",94.64
20170526_1-999,1,4,0.00
"20170526_1,000-5,000",168,"315,613",0.76
"20170526_5,001-10,000",18,"157,000",0.38
"20170526_10,001-15,000",3,"40,000",0.09
"20170526_15,001-20,000",3,"50,383",0.12
"20170526_20,001-30,000",2,"51,000",0.12
"20170526_30,001-40,000",1,"40,000",0.09
"20170526_40,001-50,000",1,"50,000",0.12
"20170526_50,001-100,000",2,"128,000",0.31
"20170526_100,001-200,000",3,"408,000",0.99
"20170526_200,001-400,000",2,"509,000",1.24
"20170526_400,001-600,000",1,"447,000",1.08
"20170526_600,001-800,000",0,0,0.00
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",4,"38,835,000",94.64
20170519_1-999,1,4,0.00
"20170519_1,000-5,000",158,"299,613",0.73
"20170519_5,001-10,000",19,"165,000",0.40
"20170519_10,001-15,000",3,"42,000",0.10
"20170519_15,001-20,000",3,"50,383",0.12
"20170519_20,001-30,000",2,"51,000",0.12
"20170519_30,001-40,000",1,"40,000",0.09
"20170519_40,001-50,000",0,0,0.00
"20170519_50,001-100,000",2,"166,000",0.40
"20170519_100,001-200,000",3,"408,000",0.99
"20170519_200,001-400,000",2,"509,000",1.24
"20170519_400,001-600,000",1,"465,000",1.13
"20170519_600,001-800,000",0,0,0.00
"20170519_800,001-1,000,000",0,0,0.00
"20170519_1,000,001以上",4,"38,835,000",94.64
20170512_1-999,2,617,0.00
"20170512_1,000-5,000",158,"293,000",0.71
"20170512_5,001-10,000",16,"134,000",0.32
"20170512_10,001-15,000",3,"44,000",0.10
"20170512_15,001-20,000",5,"90,383",0.22
"20170512_20,001-30,000",2,"51,000",0.12
"20170512_30,001-40,000",0,0,0.00
"20170512_40,001-50,000",0,0,0.00
"20170512_50,001-100,000",4,"334,000",0.81
"20170512_100,001-200,000",2,"227,000",0.55
"20170512_200,001-400,000",3,"729,000",1.77
"20170512_400,001-600,000",0,0,0.00
"20170512_600,001-800,000",1,"637,000",1.55
"20170512_800,001-1,000,000",0,0,0.00
"20170512_1,000,001以上",4,"38,491,000",93.80
20170505_1-999,1,140,0.00
"20170505_1,000-5,000",152,"279,477",0.68
"20170505_5,001-10,000",16,"138,000",0.34
"20170505_10,001-15,000",5,"72,000",0.17
"20170505_15,001-20,000",3,"50,383",0.12
